USD,1.0
GBP,1.20
GPB,1.20
BTC,21633.00
USDC,1.0
UDSC,1.0
USDT,1.0
ETH,1217.29
BUSD,1.0
SOL,38.75
BNB,242.38
XMR,126.25
EUR,1.02
XRP,0.34
BUSD-T,1.0
AUD,0.69
